Results of 1D convection diffusion simulation using FE methods 
 Temp_begin 	 Temp_end 	 node_1 	 node_2 	 node_3 	 node_4 	 node_5 	 node_6 
0.000000 	 0.000000 	 0.000000 	 0.053120 	 0.094629 	 0.114575 	 0.094474 	 0.000000 
0.000000 	 1.000000 	 0.000000 	 0.093759 	 0.210741 	 0.370850 	 0.611053 	 1.000000 
0.000000 	 2.000000 	 0.000000 	 0.134399 	 0.326853 	 0.627125 	 1.127632 	 2.000000 
0.000000 	 3.000000 	 0.000000 	 0.175038 	 0.442965 	 0.883401 	 1.644210 	 3.000000 
0.000000 	 4.000000 	 0.000000 	 0.215677 	 0.559077 	 1.139676 	 2.160789 	 4.000000 
0.000000 	 5.000000 	 0.000000 	 0.256316 	 0.675188 	 1.395951 	 2.677368 	 5.000000 
0.000000 	 6.000000 	 0.000000 	 0.296955 	 0.791300 	 1.652227 	 3.193947 	 6.000000 
0.000000 	 7.000000 	 0.000000 	 0.337594 	 0.907412 	 1.908502 	 3.710526 	 7.000000 
0.000000 	 8.000000 	 0.000000 	 0.378233 	 1.023524 	 2.164777 	 4.227105 	 8.000000 
0.000000 	 9.000000 	 0.000000 	 0.418872 	 1.139635 	 2.421052 	 4.743684 	 9.000000 
0.000000 	 10.000000 	 0.000000 	 0.459512 	 1.255747 	 2.677328 	 5.260263 	 10.000000 
0.000000 	 11.000000 	 0.000000 	 0.500151 	 1.371859 	 2.933603 	 5.776842 	 11.000000 
0.000000 	 12.000000 	 0.000000 	 0.540790 	 1.487971 	 3.189878 	 6.293421 	 12.000000 
0.000000 	 13.000000 	 0.000000 	 0.581429 	 1.604083 	 3.446154 	 6.810000 	 13.000000 
0.000000 	 14.000000 	 0.000000 	 0.622068 	 1.720194 	 3.702429 	 7.326579 	 14.000000 
0.000000 	 15.000000 	 0.000000 	 0.662707 	 1.836306 	 3.958704 	 7.843158 	 15.000000 
0.000000 	 16.000000 	 0.000000 	 0.703346 	 1.952418 	 4.214979 	 8.359737 	 16.000000 
0.000000 	 17.000000 	 0.000000 	 0.743985 	 2.068530 	 4.471255 	 8.876316 	 17.000000 
0.000000 	 18.000000 	 0.000000 	 0.784624 	 2.184641 	 4.727530 	 9.392895 	 18.000000 
0.000000 	 19.000000 	 0.000000 	 0.825264 	 2.300753 	 4.983805 	 9.909473 	 19.000000 
0.000000 	 20.000000 	 0.000000 	 0.865903 	 2.416865 	 5.240081 	 10.426052 	 20.000000 
0.000000 	 21.000000 	 0.000000 	 0.906542 	 2.532977 	 5.496356 	 10.942631 	 21.000000 
0.000000 	 22.000000 	 0.000000 	 0.947181 	 2.649089 	 5.752631 	 11.459210 	 22.000000 
0.000000 	 23.000000 	 0.000000 	 0.987820 	 2.765200 	 6.008906 	 11.975789 	 23.000000 
0.000000 	 24.000000 	 0.000000 	 1.028459 	 2.881312 	 6.265182 	 12.492368 	 24.000000 
0.000000 	 25.000000 	 0.000000 	 1.069098 	 2.997424 	 6.521457 	 13.008947 	 25.000000 
0.000000 	 26.000000 	 0.000000 	 1.109737 	 3.113536 	 6.777732 	 13.525526 	 26.000000 
0.000000 	 27.000000 	 0.000000 	 1.150377 	 3.229647 	 7.034008 	 14.042105 	 27.000000 
0.000000 	 28.000000 	 0.000000 	 1.191016 	 3.345759 	 7.290283 	 14.558684 	 28.000000 
0.000000 	 29.000000 	 0.000000 	 1.231655 	 3.461871 	 7.546558 	 15.075263 	 29.000000 
0.000000 	 30.000000 	 0.000000 	 1.272294 	 3.577983 	 7.802833 	 15.591842 	 30.000000 
0.000000 	 31.000000 	 0.000000 	 1.312933 	 3.694095 	 8.059109 	 16.108421 	 31.000000 
0.000000 	 32.000000 	 0.000000 	 1.353572 	 3.810206 	 8.315384 	 16.625000 	 32.000000 
0.000000 	 33.000000 	 0.000000 	 1.394211 	 3.926318 	 8.571659 	 17.141579 	 33.000000 
0.000000 	 34.000000 	 0.000000 	 1.434850 	 4.042430 	 8.827935 	 17.658157 	 34.000000 
0.000000 	 35.000000 	 0.000000 	 1.475490 	 4.158542 	 9.084210 	 18.174736 	 35.000000 
0.000000 	 36.000000 	 0.000000 	 1.516129 	 4.274653 	 9.340485 	 18.691315 	 36.000000 
0.000000 	 37.000000 	 0.000000 	 1.556768 	 4.390765 	 9.596760 	 19.207894 	 37.000000 
0.000000 	 38.000000 	 0.000000 	 1.597407 	 4.506877 	 9.853036 	 19.724473 	 38.000000 
0.000000 	 39.000000 	 0.000000 	 1.638046 	 4.622989 	 10.109311 	 20.241052 	 39.000000 
0.000000 	 40.000000 	 0.000000 	 1.678685 	 4.739101 	 10.365586 	 20.757631 	 40.000000 
0.000000 	 41.000000 	 0.000000 	 1.719324 	 4.855212 	 10.621862 	 21.274210 	 41.000000 
0.000000 	 42.000000 	 0.000000 	 1.759963 	 4.971324 	 10.878137 	 21.790789 	 42.000000 
0.000000 	 43.000000 	 0.000000 	 1.800603 	 5.087436 	 11.134412 	 22.307368 	 43.000000 
0.000000 	 44.000000 	 0.000000 	 1.841242 	 5.203548 	 11.390687 	 22.823947 	 44.000000 
0.000000 	 45.000000 	 0.000000 	 1.881881 	 5.319659 	 11.646963 	 23.340526 	 45.000000 
0.000000 	 46.000000 	 0.000000 	 1.922520 	 5.435771 	 11.903238 	 23.857105 	 46.000000 
0.000000 	 47.000000 	 0.000000 	 1.963159 	 5.551883 	 12.159513 	 24.373684 	 47.000000 
0.000000 	 48.000000 	 0.000000 	 2.003798 	 5.667995 	 12.415788 	 24.890263 	 48.000000 
0.000000 	 49.000000 	 0.000000 	 2.044437 	 5.784107 	 12.672064 	 25.406841 	 49.000000 
0.000000 	 50.000000 	 0.000000 	 2.085076 	 5.900218 	 12.928339 	 25.923420 	 50.000000 
0.000000 	 51.000000 	 0.000000 	 2.125716 	 6.016330 	 13.184614 	 26.439999 	 51.000000 
0.000000 	 52.000000 	 0.000000 	 2.166355 	 6.132442 	 13.440890 	 26.956578 	 52.000000 
0.000000 	 53.000000 	 0.000000 	 2.206994 	 6.248554 	 13.697165 	 27.473157 	 53.000000 
0.000000 	 54.000000 	 0.000000 	 2.247633 	 6.364665 	 13.953440 	 27.989736 	 54.000000 
0.000000 	 55.000000 	 0.000000 	 2.288272 	 6.480777 	 14.209715 	 28.506315 	 55.000000 
0.000000 	 56.000000 	 0.000000 	 2.328911 	 6.596889 	 14.465991 	 29.022894 	 56.000000 
0.000000 	 57.000000 	 0.000000 	 2.369550 	 6.713001 	 14.722266 	 29.539473 	 57.000000 
0.000000 	 58.000000 	 0.000000 	 2.410189 	 6.829113 	 14.978541 	 30.056052 	 58.000000 
0.000000 	 59.000000 	 0.000000 	 2.450829 	 6.945224 	 15.234817 	 30.572631 	 59.000000 
0.000000 	 60.000000 	 0.000000 	 2.491468 	 7.061336 	 15.491092 	 31.089210 	 60.000000 
0.000000 	 61.000000 	 0.000000 	 2.532107 	 7.177448 	 15.747367 	 31.605789 	 61.000000 
0.000000 	 62.000000 	 0.000000 	 2.572746 	 7.293560 	 16.003642 	 32.122368 	 62.000000 
0.000000 	 63.000000 	 0.000000 	 2.613385 	 7.409671 	 16.259918 	 32.638947 	 63.000000 
0.000000 	 64.000000 	 0.000000 	 2.654024 	 7.525783 	 16.516193 	 33.155525 	 64.000000 
0.000000 	 65.000000 	 0.000000 	 2.694663 	 7.641895 	 16.772468 	 33.672104 	 65.000000 
0.000000 	 66.000000 	 0.000000 	 2.735302 	 7.758007 	 17.028744 	 34.188683 	 66.000000 
0.000000 	 67.000000 	 0.000000 	 2.775942 	 7.874119 	 17.285019 	 34.705262 	 67.000000 
0.000000 	 68.000000 	 0.000000 	 2.816581 	 7.990230 	 17.541294 	 35.221841 	 68.000000 
0.000000 	 69.000000 	 0.000000 	 2.857220 	 8.106342 	 17.797569 	 35.738420 	 69.000000 
0.000000 	 70.000000 	 0.000000 	 2.897859 	 8.222454 	 18.053845 	 36.254999 	 70.000000 
0.000000 	 71.000000 	 0.000000 	 2.938498 	 8.338566 	 18.310120 	 36.771578 	 71.000000 
0.000000 	 72.000000 	 0.000000 	 2.979137 	 8.454677 	 18.566395 	 37.288157 	 72.000000 
0.000000 	 73.000000 	 0.000000 	 3.019776 	 8.570789 	 18.822671 	 37.804736 	 73.000000 
