Absolute Time Status	N/A			
Absolute Time Source	PC			
Absolute Time	2019-08-02 14:32:38 ms 477.896			
Socket ID	2017122006:T1			
Module serial number	2017122006			
Module ID	M0			
Position ID	T1			
HW Range	24 V			
User Range	24 V			
PhysicalChannelId	Tacho1			
Channel group	Tacho			
Channelgroup	Tacho			
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	1			
Channel name	T1			
DOF id	raw:Tacho1			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Tacho1			
Point id component				
Point id	raw:Tacho1			
Minimum Rotational Speed	600 rpm			
Lower Limit EU	600 rpm			
Upper Limit EU	6000 rpm			
Function class	Time			
Weighting	Linear			
Modified	Fri Aug  2019 2 16:32:40			
Created	Fri Aug  2019 2 16:32:40			
X axis increment	1 /			
X axis	0-1538 /			
X axis quantity	Ratio			
X axis unit	/			
Number of lines	1539			
Value type	Real			
Range	30.9735 s			
Max value	30.9891 s			
Min value	0.0156543 s			
Y axis quantity	Time			
Y axis unit	s			
          0.000000000e+00	          1.565427393e-02			
          1.000000000e+00	          3.577976024e-02			
          2.000000000e+00	          5.603025106e-02			
          3.000000000e+00	          7.615577056e-02			
          4.000000000e+00	          9.628120882e-02			
          5.000000000e+00	          1.164066952e-01			
          6.000000000e+00	          1.365322059e-01			
          7.000000000e+00	          1.567826128e-01			
          8.000000000e+00	          1.769080886e-01			
          9.000000000e+00	          1.970336154e-01			
          1.000000000e+01	          2.171590394e-01			
          1.100000000e+01	          2.372845234e-01			
          1.200000000e+01	          2.574100423e-01			
          1.300000000e+01	          2.776604995e-01			
          1.400000000e+01	          2.977859656e-01			
          1.500000000e+01	          3.179114051e-01			
          1.600000000e+01	          3.380368575e-01			
          1.700000000e+01	          3.581623345e-01			
          1.800000000e+01	          3.782878861e-01			
          1.900000000e+01	          3.985383809e-01			
          2.000000000e+01	          4.186638655e-01			
          2.100000000e+01	          4.387892949e-01			
          2.200000000e+01	          4.589147383e-01			
          2.300000000e+01	          4.790403056e-01			
          2.400000000e+01	          4.991657223e-01			
          2.500000000e+01	          5.194162060e-01			
          2.600000000e+01	          5.395416668e-01			
          2.700000000e+01	          5.596671403e-01			
          2.800000000e+01	          5.797926608e-01			
          2.900000000e+01	          5.999181304e-01			
          3.000000000e+01	          6.200435902e-01			
          3.100000000e+01	          6.401690730e-01			
          3.200000000e+01	          6.604195539e-01			
          3.300000000e+01	          6.805450402e-01			
          3.400000000e+01	          7.006704691e-01			
          3.500000000e+01	          7.207960362e-01			
          3.600000000e+01	          7.409214963e-01			
          3.700000000e+01	          7.610469589e-01			
          3.800000000e+01	          7.812974535e-01			
          3.900000000e+01	          8.014228988e-01			
          4.000000000e+01	          8.215483496e-01			
          4.100000000e+01	          8.416737988e-01			
          4.200000000e+01	          8.617993085e-01			
          4.300000000e+01	          8.819247398e-01			
          4.400000000e+01	          9.021753248e-01			
          4.500000000e+01	          9.223007736e-01			
          4.600000000e+01	          9.424262204e-01			
          4.700000000e+01	          9.625517049e-01			
          4.800000000e+01	          9.826772079e-01			
          4.900000000e+01	          1.002802644e+00			
          5.000000000e+01	          1.023053130e+00			
          5.100000000e+01	          1.043178616e+00			
          5.200000000e+01	          1.063304107e+00			
          5.300000000e+01	          1.083429576e+00			
          5.400000000e+01	          1.103555027e+00			
          5.500000000e+01	          1.123680503e+00			
          5.600000000e+01	          1.143930987e+00			
          5.700000000e+01	          1.164056526e+00			
          5.800000000e+01	          1.184181953e+00			
          5.900000000e+01	          1.204307455e+00			
          6.000000000e+01	          1.224432884e+00			
          6.100000000e+01	          1.244558400e+00			
          6.200000000e+01	          1.264808861e+00			
          6.300000000e+01	          1.284934364e+00			
          6.400000000e+01	          1.305059792e+00			
          6.500000000e+01	          1.325185252e+00			
          6.600000000e+01	          1.345310782e+00			
          6.700000000e+01	          1.365436259e+00			
          6.800000000e+01	          1.385686673e+00			
          6.900000000e+01	          1.405812202e+00			
          7.000000000e+01	          1.425937706e+00			
          7.100000000e+01	          1.446063151e+00			
          7.200000000e+01	          1.466188604e+00			
          7.300000000e+01	          1.486314091e+00			
          7.400000000e+01	          1.506564578e+00			
          7.500000000e+01	          1.526690065e+00			
          7.600000000e+01	          1.546815544e+00			
          7.700000000e+01	          1.566941010e+00			
          7.800000000e+01	          1.587066475e+00			
          7.900000000e+01	          1.607191978e+00			
          8.000000000e+01	          1.627317484e+00			
          8.100000000e+01	          1.647567955e+00			
          8.200000000e+01	          1.667693354e+00			
          8.300000000e+01	          1.687818888e+00			
          8.400000000e+01	          1.707944342e+00			
          8.500000000e+01	          1.728069860e+00			
          8.600000000e+01	          1.748195325e+00			
          8.700000000e+01	          1.768320786e+00			
          8.800000000e+01	          1.788571297e+00			
          8.900000000e+01	          1.808696738e+00			
          9.000000000e+01	          1.828822151e+00			
          9.100000000e+01	          1.848947593e+00			
          9.200000000e+01	          1.869073180e+00			
          9.300000000e+01	          1.889198662e+00			
          9.400000000e+01	          1.909324119e+00			
          9.500000000e+01	          1.929574592e+00			
          9.600000000e+01	          1.949700109e+00			
          9.700000000e+01	          1.969825569e+00			
          9.800000000e+01	          1.989951029e+00			
          9.900000000e+01	          2.010076489e+00			
          1.000000000e+02	          2.030202003e+00			
          1.010000000e+02	          2.050327482e+00			
          1.020000000e+02	          2.070452983e+00			
          1.030000000e+02	          2.090703407e+00			
          1.040000000e+02	          2.110828911e+00			
          1.050000000e+02	          2.130954352e+00			
          1.060000000e+02	          2.151079834e+00			
          1.070000000e+02	          2.171205345e+00			
          1.080000000e+02	          2.191330815e+00			
          1.090000000e+02	          2.211456321e+00			
          1.100000000e+02	          2.231706749e+00			
          1.110000000e+02	          2.251832207e+00			
          1.120000000e+02	          2.271957680e+00			
          1.130000000e+02	          2.292083215e+00			
          1.140000000e+02	          2.312208610e+00			
          1.150000000e+02	          2.332334144e+00			
          1.160000000e+02	          2.352459567e+00			
          1.170000000e+02	          2.372710074e+00			
          1.180000000e+02	          2.392835488e+00			
          1.190000000e+02	          2.412961021e+00			
          1.200000000e+02	          2.433086482e+00			
          1.210000000e+02	          2.453211983e+00			
          1.220000000e+02	          2.473337490e+00			
          1.230000000e+02	          2.493462959e+00			
